Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Male life expectancy,Female life expectancy ,"School enrollment, primary","School enrollment, tertiary",Primary completion rate,Literacy rate,Year,Country
2777689.0,1392115.0,1385573.0,None,None,9.0,21.4001448317118,34.9267183023205,39.8145824545667,16.7706948441535,11.629,18916378860.5488,None,-347003549.584951,3522763459.42421,None,None,None,None,None,95.6067123413086,62.731990814209,97.7489929199219,99.5,2022,Albania
2811666.0,1407212.0,1404454.0,10.24,11.325,9.0,21.1775301779296,35.640847997783,40.8522571995062,16.6792306098006,12.59,17930565118.8176,13.4901735502229,-249598404.173107,3291715601.81607,None,None,None,74.087,79.173,97.6049499511719,60.3175811767578,98.223258972168,None,2021,Albania
2837849.0,1418585.0,1419264.0,10.285,10.785,9.0,20.6280468809377,36.190744246996,41.1398485619461,16.5702774339072,12.833,15162734205.2462,-3.13850271364446,-250229603.313392,2915069419.23608,None,44.58,None,74.632,79.676,100.61360168457,61.392578125,99.4685897827148,None,2020,Albania
2854191.0,1425364.0,1428828.0,10.343,8.48,9.0,20.1506663577038,36.4168555932713,41.576031374781,16.1960745951426,11.47,15401826127.2539,1.18087420346657,-201581539.213271,2832292992.26161,None,40.11,None,77.168,81.666,104.310256958008,62.0760917663574,101.720718383789,None,2019,Albania
2866376.0,1430495.0,1435881.0,10.517,8.308,9.0,19.7456598383714,37.2857324793531,42.2478893339964,15.5654107734087,12.3,15156424015.1977,4.01137842332457,-18439164.3654405,2793252451.88714,None,37.83,None,77.037,81.608,107.403678894043,56.6088714599609,105.708557128906,None,2018,Albania
2873457.0,1433238.0,1440219.0,10.87,8.15,9.0,19.3812800344917,38.0783461432966,42.391176271743,15.0917045750876,13.62,13019726211.7369,2.01101310958917,31791431.8843792,2476628808.46887,None,36.94,None,76.873,81.504,109.716163635254,58.6535110473633,110.047668457031,99.5800018310547,2017,Albania
2876101.0,1433925.0,1442176.0,11.289,8.035,9.0,19.3798098490029,40.0408524130362,45.1764929149798,14.787014486336,15.42,11861199830.8396,3.68737045871326,192633143.363473,2354447509.91804,None,39.44,None,76.639,81.377,110.957733154297,59.2744903564453,107.407730102539,None,2016,Albania
2880703.0,1435812.0,1444890.0,11.718,7.947,9.0,18.6698188741343,41.2835252576312,47.6338436786494,14.0206552166022,17.19,11386853113.0189,0.693314927166512,134958280.601352,2252343961.11954,None,38.49,None,76.404,81.183,113.30313873291,62.9865608215332,107.276786804199,None,2015,Albania
2889104.0,1439863.0,1449241.0,12.15,7.868,9.0,17.740056695157,42.2570628093978,49.8384189563995,11.7538471404392,18.05,13228147516.1168,0.926745968163928,121272184.300341,2644330678.80167,2309.36650255581,38.56,61.4218013942638,76.114,81.013,114.043319702148,66.8260116577148,112.179496765137,None,2014,Albania
2895092.0,1442931.0,1452162.0,12.279,7.819,9.0,16.8779557826563,44.1980267602681,53.1183062109353,10.2402162283912,15.87,12776224496.9718,2.22888480895011,220318856.114386,2499688485.28919,2533.25282927106,41.14,56.3953388128232,75.786,80.781,110.929107666016,65.3152923583984,99.6744995117188,None,2013,Albania
